feature,importance
toss_win_pct_diff,0.286958517563763
venue_avg_first_innings_score,0.27848785099977086
toss_batting_first_win_pct_diff,0.2656677463216069
overall_win_pct_diff,0.23539555402564852
opp_toss_win_pct,0.22546078611411913
opp_overall_win_pct,0.21405858637427852
opp_toss_batting_first_win_pct,0.21067394356328667
team_toss_win_pct,0.20664220960312274
team_toss_batting_first_win_pct,0.1803469004686063
venue_avg_middle_runs,0.16099995761332977
opp_h2h_win_pct,0.1522378311201417
team_overall_win_pct,0.1358579006619643
venue_avg_death_runs,0.10410944490209392
h2h_win_pct_diff,0.08498735439253391
venue_avg_powerplay_runs,0.07805280340562287
team_last5_runs_avg,0.0744922951380767
powerplay_rpo_diff,0.07162974004657444
team_batting_first_win_pct,0.07117284375267578
death_rpo_diff,0.07062022056750782
opp_toss_chase_win_pct,0.06881746911842827
opp_home_win_pct,0.06676915587106044
team_last5_powerplay_rpo,0.0661626908030433
toss_chase_win_pct_diff,0.06564365666447511
runs_avg_diff,0.061577931563419654
home_win_pct_diff,0.06011090763505458
team_last5_death_rpo,0.05747206334143701
opp_last5_win_pct,0.057006847669089866
toss_venue_win_pct_diff,0.05572040050684747
win_pct_diff,0.045926750495171934
opp_toss_venue_win_pct,0.04579175744893415
team_last5_run_rate,0.04569287000616939
opp_last5_death_rpo,0.044717640806443554
batting_first_win_pct_diff,0.043949319270432635
team_toss_venue_win_pct,0.040625756983043396
venue_chase_win_pct,0.03517261507477771
team_toss_chase_win_pct,0.028846568306873877
opp_last5_run_rate,0.028163350495648713
opp_last5_powerplay_rpo,0.02421114080002672
team_home_win_pct,0.018122644060156484
team_h2h_win_pct,0.0158096264404195
run_rate_diff,0.014018495924300899
team_last5_win_pct,0.011938176645123673
opp_last5_runs_avg,0.004852925285078202
opp_batting_first_win_pct,0.004569902372058162
