match_id,date,team,opponent,venue,result_win,team_last5_win_pct,team_last5_runs_avg,team_last5_powerplay_rpo,team_last5_death_rpo,team_overall_win_pct,team_last5_run_rate,team_batting_first_win_pct,team_home_win_pct,team_h2h_win_pct,team_toss_win_pct,team_toss_batting_first_win_pct,team_toss_chase_win_pct,team_toss_venue_win_pct,opp_last5_win_pct,opp_last5_runs_avg,opp_last5_powerplay_rpo,opp_last5_death_rpo,opp_overall_win_pct,opp_last5_run_rate,opp_batting_first_win_pct,opp_home_win_pct,opp_h2h_win_pct,opp_toss_win_pct,opp_toss_batting_first_win_pct,opp_toss_chase_win_pct,opp_toss_venue_win_pct,win_pct_diff,runs_avg_diff,powerplay_rpo_diff,death_rpo_diff,overall_win_pct_diff,run_rate_diff,batting_first_win_pct_diff,home_win_pct_diff,h2h_win_pct_diff,toss_win_pct_diff,toss_batting_first_win_pct_diff,toss_chase_win_pct_diff,toss_venue_win_pct_diff,venue_avg_first_innings_score,venue_chase_win_pct,venue_avg_powerplay_runs,venue_avg_middle_runs,venue_avg_death_runs
335982,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335982,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,93.0,68.0
335983,2008-04-19,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335983,2008-04-19,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,108.0,79.0
335984,2008-04-19,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,56.0,33.0
335984,2008-04-19,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335985,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,
335985,2008-04-20,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,1,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,58.0,60.0
335986,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,1,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,38.0,33.0
335987,2008-04-21,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,0,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,
335987,2008-04-21,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,1,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,54.0,61.0,51.0
335988,2008-04-22,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,1.0,,,1.0,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,,
335988,2008-04-22,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",1,,,,,1.0,,,1.0,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,1.0,,,1.0,,,,,,,,25.0,48.0,69.0
335989,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",1,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,
335989,2008-04-23,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,-1.0,,-1.0,,,-1.0,-1.0,,,,,53.0,90.0,65.0
335990,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.5,,0.0,1.0,,0.0,0.0,,,,,,,-0.5,,0.0,-1.0,,0.0,0.0,,,142.0,1.0,48.66666666666666,76.33333333333333,42.333333333333336
335990,2008-04-24,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",1,,,,,0.5,,0.0,1.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.5,,0.0,1.0,,0.0,0.0,,,142.0,1.0,36.5,71.5,34.5
335991,2008-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",1,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,240.0,0.0,58.0,105.0,60.5
335991,2008-04-25,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,240.0,0.0,58.66666666666666,96.0,55.0
335992,2008-04-26,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,,,,,0.6666666666666666,,0.0,1.0,,0.5,0.0,1.0,,,,,,0.5,,,0.0,,0.0,,0.0,0.0,,,,,0.1666666666666666,,,1.0,,0.5,,1.0,,222.0,0.0,48.0,62.0,36.333333333333336
335992,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,0,,,,,0.5,,,0.0,,0.0,,0.0,0.0,,,,,0.6666666666666666,,0.0,1.0,,0.5,0.0,1.0,,,,,,-0.1666666666666666,,,-1.0,,-0.5,,-1.0,,222.0,0.0,43.5,74.0,34.5
335993,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",1,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,208.0,0.0,55.333333333333336,71.66666666666667,58.66666666666666
335993,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,0.0,,0.0,0.0,,,,,,208.0,0.0,52.5,86.0,66.5
335994,2008-04-27,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,1,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,
