team,player
Chennai Super Kings,Ruturaj Gaikwad
Chennai Super Kings,MS Dhoni
Chennai Super Kings,Sanju Samson
Chennai Super Kings,Dewald Brevis
Chennai Super Kings,Kartik Sharma
Chennai Super Kings,Sarfaraz Khan
Chennai Super Kings,Urvil Patel
Chennai Super Kings,Jamie Overton
Chennai Super Kings,Ramakrishna Ghosh
Chennai Super Kings,Prashant Veer
Chennai Super Kings,Matthew Short
Chennai Super Kings,Aman Khan
Chennai Super Kings,Zak Foulkes
Chennai Super Kings,Shivam Dube
Chennai Super Kings,Khaleel Ahmed
Chennai Super Kings,Noor Ahmad
Chennai Super Kings,Anshul Kamboj
Chennai Super Kings,Mukesh Choudhary
Chennai Super Kings,Shreyas Gopal
Chennai Super Kings,Gurjapneet Singh
Chennai Super Kings,Akeal Hosein
Chennai Super Kings,Matt Henry
Chennai Super Kings,Rahul Chahar
Chennai Super Kings,Spencer Johnson
Chennai Super Kings,Akash Madhwal
Mumbai Indians,Rohit Sharma
Mumbai Indians,Surya Kumar Yadav
Mumbai Indians,Robin Minz
Mumbai Indians,Sherfane Rutherford
Mumbai Indians,Ryan Rickelton
Mumbai Indians,Quinton de Kock
Mumbai Indians,Danish Malewar
Mumbai Indians,Tilak Varma
Mumbai Indians,Hardik Pandya
Mumbai Indians,Naman Dhir
Mumbai Indians,Raj Angad Bawa
Mumbai Indians,Mayank Rawat
Mumbai Indians,Krish Bhagat
Mumbai Indians,Corbin Bosch
Mumbai Indians,Will Jacks
Mumbai Indians,Shardul Thakur
Mumbai Indians,Trent Boult
Mumbai Indians,Mayank Markande
Mumbai Indians,Deepak Chahar
Mumbai Indians,Ashwani Kumar
Mumbai Indians,Raghu Sharma
Mumbai Indians,Mohammad Izhar
Mumbai Indians,Keshav Maharaj
Mumbai Indians,Allah Ghazanfar
Mumbai Indians,Jasprit Bumrah
Delhi Capitals,KL Rahul
Delhi Capitals,Karun Nair
Delhi Capitals,David Miller
Delhi Capitals,Pathum Nissanka
Delhi Capitals,Sahil Parakh
Delhi Capitals,Prithvi Shaw
Delhi Capitals,Abishek Porel
Delhi Capitals,Tristan Stubbs
Delhi Capitals,Axar Patel
Delhi Capitals,Sameer Rizvi
Delhi Capitals,Ashutosh Sharma
Delhi Capitals,Vipraj Nigam
Delhi Capitals,Ajay Mandal
Delhi Capitals,Tripurana Vijay
Delhi Capitals,Madhav Tiwari
Delhi Capitals,Nitish Rana
Delhi Capitals,Mitchell Starc
Delhi Capitals,T. Natarajan
Delhi Capitals,Mukesh Kumar
Delhi Capitals,Dushmantha Chameera
Delhi Capitals,Auqib Nabi
Delhi Capitals,Lungisani Ngidi
Delhi Capitals,Kyle Jamieson
Delhi Capitals,Rehan Ahmed
Delhi Capitals,Kuldeep Yadav
Rajasthan Royals,Shubham Dubey
Rajasthan Royals,Vaibhav Sooryavanshi
Rajasthan Royals,Donovan Ferreira
Rajasthan Royals,Lhuan-dre Pretorious
Rajasthan Royals,Ravi Singh
Rajasthan Royals,Aman Rao Perala
Rajasthan Royals,Shimron Hetmyer
Rajasthan Royals,Yashasvi Jaiswal
Rajasthan Royals,Dhruv Jurel
Rajasthan Royals,Riyan Parag
Rajasthan Royals,Yudhvir Singh Charak
Rajasthan Royals,Ravindra Jadeja
Rajasthan Royals,Dasun Shanaka
Rajasthan Royals,Jofra Archer
Rajasthan Royals,Tushar Deshpande
Rajasthan Royals,Kwena Maphaka
Rajasthan Royals,Ravi Bishnoi
Rajasthan Royals,Sushant Mishra
Rajasthan Royals,Yash Raj Punja
Rajasthan Royals,Vignesh Puthur
Rajasthan Royals,Brijesh Sharma
Rajasthan Royals,Adam Milne
Rajasthan Royals,Kuldeep Sen
Rajasthan Royals,Sandeep Sharma
Rajasthan Royals,Nandre Burger
Kolkata Knight Riders,Ajinkya Rahane
Kolkata Knight Riders,Rinku Singh
Kolkata Knight Riders,Angkrish Raghuvanshi
Kolkata Knight Riders,Manish Pandey
Kolkata Knight Riders,Finn Allen
Kolkata Knight Riders,Tejasvi Singh
Kolkata Knight Riders,Rahul Tripathi
Kolkata Knight Riders,Tim Seifert
Kolkata Knight Riders,Rovman Powell
Kolkata Knight Riders,Anukul Roy
Kolkata Knight Riders,Cameron Green
Kolkata Knight Riders,Sarthak Ranjan
Kolkata Knight Riders,Daksh Kamra
Kolkata Knight Riders,Rachin Ravindra
Kolkata Knight Riders,Ramandeep Singh
Kolkata Knight Riders,Sunil Narine
Kolkata Knight Riders,Blessing Muzarabani
Kolkata Knight Riders,Vaibhav Arora
Kolkata Knight Riders,Matheesha Pathirana
Kolkata Knight Riders,Kartik Tyagi
Kolkata Knight Riders,Prashant Solanki
Kolkata Knight Riders,Saurabh Dubey
Kolkata Knight Riders,Navdeep Saini
Kolkata Knight Riders,Umran Malik
Kolkata Knight Riders,Varun Chakaravarthy
Punjab Kings,Shreyas Iyer
Punjab Kings,Nehal Wadhera
Punjab Kings,Vishnu Vinod
Punjab Kings,Harnoor Pannu
Punjab Kings,Pyla Avinash
Punjab Kings,Prabhsimran Singh
Punjab Kings,Shashank Singh
Punjab Kings,Marcus Stoinis
Punjab Kings,Harpreet Brar
Punjab Kings,Marco Jansen
Punjab Kings,Azmatullah Omarzai
Punjab Kings,Priyansh Arya
Punjab Kings,Musheer Khan
Punjab Kings,Suryansh Shedge
Punjab Kings,Mitch Owen
Punjab Kings,Cooper Connolly
Punjab Kings,Ben Dwarshuis
Punjab Kings,Arshdeep Singh
Punjab Kings,Yuzvendra Chahal
Punjab Kings,Vyshak Vijaykumar
Punjab Kings,Yash Thakur
Punjab Kings,Xavier Bartlett
Punjab Kings,Pravin Dubey
Punjab Kings,Vishal Nishad
Punjab Kings,Lockie Ferguson
Royal Challengers Bengaluru,Rajat Patidar
Royal Challengers Bengaluru,Devdutt Padikkal
Royal Challengers Bengaluru,Virat Kohli
Royal Challengers Bengaluru,Phil Salt
Royal Challengers Bengaluru,Jitesh Sharma
Royal Challengers Bengaluru,Jordan Cox
Royal Challengers Bengaluru,Krunal Pandya
Royal Challengers Bengaluru,Swapnil Singh
Royal Challengers Bengaluru,Tim David
Royal Challengers Bengaluru,Romario Shepherd
Royal Challengers Bengaluru,Jacob Bethell
Royal Challengers Bengaluru,Venkatesh Iyer
Royal Challengers Bengaluru,Satvik Deswal
Royal Challengers Bengaluru,Mangesh Yadav
Royal Challengers Bengaluru,Vicky Ostwal
Royal Challengers Bengaluru,Vihaan Malhotra
Royal Challengers Bengaluru,Kanishk Chouhan
Royal Challengers Bengaluru,Josh Hazlewood
Royal Challengers Bengaluru,Rasikh Dar
Royal Challengers Bengaluru,Suyash Sharma
Royal Challengers Bengaluru,Bhuvneshwar Kumar
Royal Challengers Bengaluru,Nuwan Thushara
Royal Challengers Bengaluru,Abhinandan Singh
Royal Challengers Bengaluru,Jacob Duffy
Royal Challengers Bengaluru,Yash Dayal
Gujarat Titans,Shubman Gill
Gujarat Titans,Jos Buttler
Gujarat Titans,Kumar Kushagra
Gujarat Titans,Anuj Rawat
Gujarat Titans,Connor Esterhuizen
Gujarat Titans,Glenn Phillips
Gujarat Titans,Sai Sudharsan
Gujarat Titans,Nishant Sindhu
Gujarat Titans,Washington Sundar
Gujarat Titans,Mohd. Arshad Khan
Gujarat Titans,Sai Kishore
Gujarat Titans,Jayant Yadav
Gujarat Titans,Jason Holder
Gujarat Titans,Rahul Tewatia
Gujarat Titans,Shahrukh Khan
Gujarat Titans,Kagiso Rabada
Gujarat Titans,Mohammed Siraj
Gujarat Titans,Prasidh Krishna
Gujarat Titans,Manav Suthar
Gujarat Titans,Gurnoor Singh Brar
Gujarat Titans,Ishant Sharma
Gujarat Titans,Ashok Sharma
Gujarat Titans,Luke Wood
Gujarat Titans,Kulwant Khejroliya
Gujarat Titans,Rashid Khan
Lucknow Super Giants,Rishabh Pant
Lucknow Super Giants,Aiden Markram
Lucknow Super Giants,Himmat Singh
Lucknow Super Giants,Matthew Breetzke
Lucknow Super Giants,Mukul Choudhary
Lucknow Super Giants,Akshat Raghuwanshi
Lucknow Super Giants,Josh Inglis
Lucknow Super Giants,Nicholas Pooran
Lucknow Super Giants,Mitchell Marsh
Lucknow Super Giants,Abdul Samad
Lucknow Super Giants,Shahbaz Ahamad
Lucknow Super Giants,Arshin Kulkarni
Lucknow Super Giants,Ayush Badoni
Lucknow Super Giants,Mohammad Shami
Lucknow Super Giants,Avesh Khan
Lucknow Super Giants,M. Siddharth
Lucknow Super Giants,Digvesh Singh
Lucknow Super Giants,Akash Singh
Lucknow Super Giants,Prince Yadav
Lucknow Super Giants,Arjun Tendulkar
Lucknow Super Giants,Anrich Nortje
Lucknow Super Giants,Naman Tiwari
Lucknow Super Giants,George Linde
Lucknow Super Giants,Mayank Yadav
Lucknow Super Giants,Mohsin Khan
Sunrisers Hyderabad,Ishan Kishan
Sunrisers Hyderabad,Aniket Verma
Sunrisers Hyderabad,Smaran Ravichandran
Sunrisers Hyderabad,Salil Arora
Sunrisers Hyderabad,Heinrich Klaasen
Sunrisers Hyderabad,Travis Head
Sunrisers Hyderabad,Harshal Patel
Sunrisers Hyderabad,Kamindu Mendis
Sunrisers Hyderabad,Harsh Dubey
Sunrisers Hyderabad,Shivang Kumar
Sunrisers Hyderabad,Krains Fuletra
Sunrisers Hyderabad,Liam Livingstone
Sunrisers Hyderabad,R.S Ambrish
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,Nitish Kumar Reddy
Sunrisers Hyderabad,Pat Cummins
Sunrisers Hyderabad,Zeeshan Ansari
Sunrisers Hyderabad,Jaydev Unadkat
Sunrisers Hyderabad,Eshan Malinga
Sunrisers Hyderabad,Sakib Hussain
Sunrisers Hyderabad,Onkar Tarmale
Sunrisers Hyderabad,Amit Kumar
Sunrisers Hyderabad,Praful Hinge
Sunrisers Hyderabad,Dilshan Madushanka
Sunrisers Hyderabad,Gerald Coetzee
