match_id,date,team,opponent,venue,player,runs,balls,strike_rate,wickets,economy,player_last5_runs_avg,player_last5_strike_rate,player_last5_wickets,player_last5_economy,player_vs_team_avg,player_at_venue_avg
548341,2012-04-26,Deccan Chargers,Pune Warriors,Subrata Roy Sahara Stadium,A Ashish Reddy,0,0,0.0,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0
548346,2012-04-29,Deccan Chargers,Mumbai Indians,Wankhede Stadium,A Ashish Reddy,10,10,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548346,2012-04-29,Deccan Chargers,Mumbai Indians,Wankhede Stadium,A Ashish Reddy,0,0,0.0,1,4.71,0.0,0.0,0.0,0.0,10.0,10.0
548348,2012-05-01,Deccan Chargers,Pune Warriors,Barabati Stadium,A Ashish Reddy,0,0,0.0,1,10.11,0.0,0.0,0.0,0.0,0.0,0.0
548352,2012-05-04,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,0,0,0.0,1,7.38,0.0,0.0,0.0,0.0,0.0,0.0
548352,2012-05-04,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",A Ashish Reddy,3,3,100.0,0,0.0,2.0,20.0,1.0,6.04,0.0,0.0
548356,2012-05-06,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,A Ashish Reddy,0,0,0.0,1,8.64,2.6,40.0,0.6,4.4399999999999995,0.0,0.0
548359,2012-05-08,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,2,9.6,0.6,20.0,0.8,6.168,0.0,0.0
548359,2012-05-08,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,8,8,100.0,0,0.0,0.6,20.0,1.0,7.145999999999999,0.0,0.0
548329,2012-05-10,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,0,14.5,2.2,40.0,0.8,5.124,0.0,4.0
548373,2012-05-18,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,0,8.5,2.2,40.0,0.6,6.548,0.0,2.6666666666666665
548373,2012-05-18,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,10,4,250.0,0,0.0,1.6,20.0,0.6,8.248000000000001,0.0,2.0
548376,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,4,5,80.0,0,0.0,3.6,70.0,0.4,6.5200000000000005,0.0,3.6
548376,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,3,6.0,4.4,86.0,0.0,4.6,2.0,3.6666666666666665
598000,2013-04-05,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,7,4,175.0,0,0.0,2.8,66.0,0.6,5.8,0.0,3.142857142857143
598000,2013-04-05,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,1,10.5,4.2,101.0,0.6,2.9,2.3333333333333335,3.625
598004,2013-04-07,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,0,0,0.0,1,7.0,4.2,101.0,0.8,3.3,1.3333333333333333,3.2222222222222223
598004,2013-04-07,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",A Ashish Reddy,14,12,116.67,0,0.0,2.2,51.0,1.0,4.7,1.0,2.9
598048,2013-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,A Ashish Reddy,3,4,75.0,0,0.0,4.2,58.334,1.0,4.7,3.6,0.0
