match_id,date,team,opponent,venue,toss_winner,toss_decision,toss_won,innings,batted_first,runs_scored,wickets_lost,balls_faced,overs_faced,run_rate,powerplay_runs,powerplay_wickets_lost,middle_runs,middle_wickets_lost,death_runs,death_wickets_lost,result_win,target,chased_successfully,opponent_runs,opponent_wickets
335982,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0,1,1,222,3,120,20.0,11.1,61,1,93,1,68,1,1,,0,82,10
335982,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,1,2,0,82,10,91,15.17,5.41,26,4,55,5,1,1,0,223.0,0,222,3
335983,2008-04-19,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,1,1,1,240,5,120,20.0,12.0,53,1,108,3,79,1,1,,0,207,4
335983,2008-04-19,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,0,2,0,207,4,120,20.0,10.35,63,1,102,2,42,1,0,241.0,0,240,5
335984,2008-04-19,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,bat,1,1,1,129,8,120,20.0,6.45,40,2,56,5,33,1,0,,0,132,1
335984,2008-04-19,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,0,2,0,132,1,91,15.17,8.7,55,1,73,0,4,0,1,130.0,1,129,8
335985,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,1,1,1,165,7,120,20.0,8.25,47,3,58,1,60,3,0,,0,166,5
335985,2008-04-20,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,0,2,0,166,5,118,19.67,8.44,40,1,78,3,48,1,1,166.0,1,165,7
335986,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,bat,1,1,1,110,10,112,18.67,5.89,39,2,38,4,33,4,0,,0,112,5
335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,0,2,0,112,5,114,19.0,5.89,26,3,55,1,31,1,1,111.0,1,110,10
