match_id,date,team,venue,phase,runs,wickets_lost,balls,overs,run_rate
335982,2008-04-18,Kolkata Knight Riders,M Chinnaswamy Stadium,death,68,1,30,5.0,13.6
335982,2008-04-18,Kolkata Knight Riders,M Chinnaswamy Stadium,middle,93,1,54,9.0,10.33
335982,2008-04-18,Kolkata Knight Riders,M Chinnaswamy Stadium,powerplay,61,1,36,6.0,10.17
335982,2008-04-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,death,1,1,1,0.17,5.88
335982,2008-04-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,middle,55,5,54,9.0,6.11
335982,2008-04-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,powerplay,26,4,36,6.0,4.33
335983,2008-04-19,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",death,79,1,30,5.0,15.8
335983,2008-04-19,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",middle,108,3,54,9.0,12.0
335983,2008-04-19,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",powerplay,53,1,36,6.0,8.83
335983,2008-04-19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",death,42,1,30,5.0,8.4
335983,2008-04-19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",middle,102,2,54,9.0,11.33
335983,2008-04-19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",powerplay,63,1,36,6.0,10.5
335984,2008-04-19,Delhi Daredevils,Feroz Shah Kotla,death,4,0,1,0.17,23.53
335984,2008-04-19,Delhi Daredevils,Feroz Shah Kotla,middle,73,0,54,9.0,8.11
335984,2008-04-19,Delhi Daredevils,Feroz Shah Kotla,powerplay,55,1,36,6.0,9.17
335984,2008-04-19,Rajasthan Royals,Feroz Shah Kotla,death,33,1,30,5.0,6.6
335984,2008-04-19,Rajasthan Royals,Feroz Shah Kotla,middle,56,5,54,9.0,6.22
335984,2008-04-19,Rajasthan Royals,Feroz Shah Kotla,powerplay,40,2,36,6.0,6.67
335985,2008-04-20,Mumbai Indians,Wankhede Stadium,death,60,3,30,5.0,12.0
335985,2008-04-20,Mumbai Indians,Wankhede Stadium,middle,58,1,54,9.0,6.44
335985,2008-04-20,Mumbai Indians,Wankhede Stadium,powerplay,47,3,36,6.0,7.83
335985,2008-04-20,Royal Challengers Bangalore,Wankhede Stadium,death,48,1,28,4.67,10.28
335985,2008-04-20,Royal Challengers Bangalore,Wankhede Stadium,middle,78,3,54,9.0,8.67
335985,2008-04-20,Royal Challengers Bangalore,Wankhede Stadium,powerplay,40,1,36,6.0,6.67
335986,2008-04-20,Deccan Chargers,Eden Gardens,death,33,4,22,3.67,8.99
335986,2008-04-20,Deccan Chargers,Eden Gardens,middle,38,4,54,9.0,4.22
335986,2008-04-20,Deccan Chargers,Eden Gardens,powerplay,39,2,36,6.0,6.5
335986,2008-04-20,Kolkata Knight Riders,Eden Gardens,death,31,1,24,4.0,7.75
335986,2008-04-20,Kolkata Knight Riders,Eden Gardens,middle,55,1,54,9.0,6.11
