match_id,date,team,opponent,venue,venue_avg_first_innings_score,venue_chase_win_pct,venue_avg_powerplay_runs,venue_avg_middle_runs,venue_avg_death_runs
335982,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,,,,,
335982,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,,,61.0,93.0,68.0
335983,2008-04-19,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",,,,,
335983,2008-04-19,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",,,53.0,108.0,79.0
335984,2008-04-19,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,,,,,
335984,2008-04-19,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,,,40.0,56.0,33.0
335985,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,,,,,
335985,2008-04-20,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,,,47.0,58.0,60.0
335986,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,,,,,
335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,,,39.0,38.0,33.0
335987,2008-04-21,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,,,,,
335987,2008-04-21,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,,,54.0,61.0,51.0
335988,2008-04-22,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",,,,,
335988,2008-04-22,Delhi Daredevils,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",,,25.0,48.0,69.0
335989,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",,,,,
335989,2008-04-23,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",,,53.0,90.0,65.0
335990,2008-04-24,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",142.0,1.0,36.5,71.5,34.5
335990,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",142.0,1.0,48.666666666666664,76.33333333333333,42.333333333333336
335991,2008-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",240.0,0.0,58.0,105.0,60.5
335991,2008-04-25,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",240.0,0.0,58.666666666666664,96.0,55.0
335992,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,222.0,0.0,43.5,74.0,34.5
335992,2008-04-26,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,222.0,0.0,48.0,62.0,36.333333333333336
335993,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",208.0,0.0,52.5,86.0,66.5
335993,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",208.0,0.0,55.333333333333336,71.66666666666667,58.666666666666664
335995,2008-04-27,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",211.0,0.0,53.75,87.5,45.0
335995,2008-04-27,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",211.0,0.0,52.0,82.4,46.2
335994,2008-04-27,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,,,,,
335994,2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,,,60.0,95.0,0.0
335996,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,178.5,0.5,47.25,65.5,31.5
335996,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,178.5,0.5,45.0,65.6,40.4
335997,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,110.0,1.0,32.5,46.5,32.0
335997,2008-04-29,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,110.0,1.0,35.0,46.666666666666664,38.0
335998,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,129.0,1.0,47.5,64.5,18.5
335998,2008-04-30,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,129.0,1.0,51.0,74.0,25.666666666666668
336000,2008-05-01,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,166.0,1.0,53.5,75.0,38.5
336000,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,166.0,1.0,52.666666666666664,75.66666666666667,33.333333333333336
335999,2008-05-01,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",178.0,1.0,51.0,79.75,48.25
335999,2008-05-01,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",178.0,1.0,50.8,76.0,49.2
336001,2008-05-02,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",177.5,0.5,52.75,72.75,51.75
336001,2008-05-02,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",177.5,0.5,51.6,74.0,50.0
336003,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",193.33333333333334,0.3333333333333333,52.5,80.0,45.0
336003,2008-05-03,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",193.33333333333334,0.3333333333333333,52.0,78.57142857142857,47.0
336034,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,178.33333333333334,0.3333333333333333,45.0,69.16666666666667,39.166666666666664
336034,2008-05-03,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,178.33333333333334,0.3333333333333333,45.142857142857146,69.0,39.57142857142857
336004,2008-05-04,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,154.0,1.0,43.5,83.5,27.5
336004,2008-05-04,Delhi Daredevils,Mumbai Indians,Dr DY Patil Sports Academy,154.0,1.0,45.666666666666664,76.33333333333333,35.0
336005,2008-05-04,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,181.0,0.5,50.75,81.0,38.5
336005,2008-05-04,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,181.0,0.5,48.2,75.4,34.4
336006,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,172.75,0.25,43.625,70.25,39.75
